,track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name,Genre
1160,6ZkiIiPneUofzUNO6sVGUI,Dreams,0Zromf5rQEKfp5ocySlmvY,Raquel Aurilia,6My37sulBy4vuOrIc669Fd,256586,1/9/2011,31,0.836,0.595,0,-6.663,1,0.0285,0.339,5.93E-05,0.0824,0.926,120.991,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1161,71UVYKHDUBCgvxiOIjE2mG,Leave Me or Love Me,7shnnEJG7tOes6jrFjSTLF,Valentina Tavan,2GuwdI0todFyKZEPQ76SCB,203964,7/13/2018,29,0.721,0.642,5,-7.944,1,0.0286,0.0949,0.000353,0.0935,0.451,128.032,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1162,6ToVspiiQBvcQLkus3wKCk,Like Lust Should,3k3oHvYuVGxHDbQyA3HWsf,Greg Steinfeld,7zw7HuZpL9L79bQA7JTGH0,210991,3/30/2018,0,0.588,0.533,8,-9.338,1,0.0295,0.159,5.70E-05,0.0719,0.513,84.971,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1163,0o7g2ndHoHmzTXaxjPM44O,Even Flow,1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,029dnuRwPEn8biaR5QC59w,293666,1991,0,0.407,0.889,10,-9.264,0,0.0542,0.00619,3.96E-06,0.323,0.287,104.946,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1164,1yslmgUcM2AOkOPS4sl3QV,Bohemian Rhapsody,1dfeR4HaWDbWqFHLkxsg1d,Queen,2gybDwJr6lkpe2rUbVehzM,355106,11/21/1975,0,0.39,0.293,0,-14.274,0,0.0537,0.16,0,0.202,0.203,143.956,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1165,1f5s5i721OcbLH8XdSac14,Black Hole Sun,5xUf6j4upBrXZPg6AI4MRK,Soundgarden,4SPc25NzdqOQt2IX4JDLUv,318000,3/9/1994,0,0.361,0.728,6,-8.519,1,0.0368,0.000291,0.000112,0.0701,0.155,105.768,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1166,4cJsAb0zKwADwtljw9t8CP,Linger,7t0rwkOPGlDPEhaOcVtOt9,The Cranberries,6riWfxKbbDMJQNx1a3w2OQ,274706,2007,0,0.424,0.529,7,-12.004,1,0.0265,0.109,0.000255,0.222,0.255,94.839,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1167,5UapJPoV8BX4xQYOIwjABo,Feel It,1oyUjl52ohRrCv3EL1UdpM,Confetti,1m0GLsVORJPj9jeqvTWB3W,161368,10/22/2021,45,0.731,0.703,1,-3.652,1,0.0328,0.00188,2.15E-06,0.0685,0.928,127.967,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1168,2dIo9fymQxXT12e2uKJ98Z,All The Love,1zxDewzd2j1ZdSBGaYcr0y,The Outfield,4289N1Sc8MSY7L0iBtjnw3,212240,4/7/1985,0,0.622,0.531,4,-13.229,1,0.0406,0.0405,1.17E-06,0.0915,0.737,128.084,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1169,5C0LFQARavkPpn7JgA4sLk,Every Breath You Take - Remastered 2003,5NGO30tJxFlKixkPSgXcFE,The Police,28eOriEfl7IGbQDNvWIWXK,253250,6/1/1983,1,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0701,0.74,117.401,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1170,0QQJuiBB75tDJDsBnVKYnH,Santiago,2wS81cKRYsRGi5Q7ykFQR2,Santropia,3uUBhNRY5cWxQwe7cngT3P,241325,12/1/2015,0,0.552,0.66,5,-7.131,1,0.0321,0.0191,0.00153,0.168,0.579,150.037,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1171,3jgvZOgkbonsOKESHpxd8j,With Or Without You,51Blml2LZPmy7TTiAg47vQ,U2,2gKxc9XphKyPDjfKSZ1ULT,296160,3/10/1987,0,0.533,0.362,2,-14.712,1,0.0292,0.000174,0.156,0.14,0.0913,109.918,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1172,4tyl9OMKMG8F2L0RUYQMH3,Walk Of Life,0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits,1NF8WUbdC632SIwixiWrLh,249960,5/13/1985,0,0.461,0.918,4,-8.507,1,0.0959,0.405,0.00033,0.126,0.802,172.435,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1173,1s4Ie0cT6P73SRSfh3oyGW,The Number Of The Beast - 1998 Remastered Version,6mdiAmATAx73kdxrNrnlao,Iron Maiden,6q5MEna6Fg46powSoeZJe3,291373,1982,0,0.42,0.93,2,-5.583,0,0.0638,0.0189,0.00675,0.264,0.344,99.641,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1174,2ZSCy3P1QzpJySCWA6NRIU,I Was Made For Lovin' You,07XSN3sPlIlB2L2XNcTwJw,KISS,3vasiwx11ruCgyn54MBJYL,271240,3/23/1979,0,0.768,0.852,4,-6.215,1,0.038,0.213,7.45E-05,0.0723,0.867,128.374,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1175,5HGL4s8LG1X6FJfx8kbdrO,Your Love,1zxDewzd2j1ZdSBGaYcr0y,The Outfield,4289N1Sc8MSY7L0iBtjnw3,216466,4/7/1985,0,0.579,0.654,1,-12.421,0,0.0553,0.121,3.62E-06,0.0673,0.616,129.537,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1176,745PEogChr9LC3ctmXeijC,Dr. Feelgood,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,4xyW9gMKXTDq6tk2RMPAFB,289920,1989,0,0.535,0.968,2,-3.952,1,0.0658,0.000894,0.0127,0.236,0.384,110.964,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1177,3oTlkzk1OtrhH8wBAduVEi,Smells Like Teen Spirit,6olE6TJLqED3rqDCT0FyPh,Nirvana,6okv1avxEgYSdc2JYy6ZEi,301240,9/26/1991,0,0.485,0.863,1,-9.027,1,0.0495,1.22E-05,0.0162,0.138,0.767,116.835,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1178,2rUsrO3r74hZTk7WqT4ZiG,Acapulco,3SqtHH9uGzfm9UIc7veyuK,The Sometimes Island,7G4S8nAwNPoTr8pJfOJS2D,161142,8/26/2021,54,0.743,0.488,0,-6.764,1,0.0392,0.217,0.00507,0.122,0.694,87.488,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1179,5PsUB0ISfQxRLhF5DmI5Ks,Don't Speak,0cQbJU1aAzvbEmTuljWLlF,No Doubt,4Rvc82pV7HCKZyRHbLWCac,263000,10/10/1995,0,0.522,0.707,5,-7.113,0,0.0354,0.24,2.04E-05,0.156,0.572,76.05,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1180,78AYMFLk1nrkle3yHWxfVi,We Are The Champions,1dfeR4HaWDbWqFHLkxsg1d,Queen,3rhGvoWqfMzr4TQziVimL5,182876,10/28/1977,0,0.491,0.471,10,-7.099,1,0.0306,0.0366,1.16E-06,0.111,0.17,95.346,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1181,5Z8EDau8uNcP1E8JvmfkZe,School's Out,3EhbVgyfGd7HkpsagwL9GS,Alice Cooper,0zKjnOsXxs63unPR6TWoHq,210106,1972,68,0.294,0.745,5,-9.138,1,0.0461,0.05,0.125,0.676,0.347,134.364,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1182,74EV0g12ihUoOUXMprFpZB,Losing My Religion,4KWTAlx2RvbpseOGMEmROg,R.E.M.,4v5hSLj6ClyLqj2nnaPbfD,267733,1/1/1991,0,0.672,0.841,9,-5.992,0,0.0285,0.0767,0,0.135,0.82,125.437,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1183,27bmsyH4fHSaz7QuBABJHD,Nickels & Dimes,3k3oHvYuVGxHDbQyA3HWsf,Greg Steinfeld,7zw7HuZpL9L79bQA7JTGH0,213674,3/30/2018,0,0.66,0.579,8,-8.833,0,0.0501,0.205,0,0.0745,0.754,98.044,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1184,4FFKYMQcqGIKLp4pJRdkbm,Black Betty,6FITmSxIMsk6TfulFiCIIz,Ram Jam,5VNZN3Z19EUyeEax31nAee,235933,2/12/2008,0,0.44,0.834,11,-9.709,0,0.102,0.000998,0.00826,0.133,0.783,117.763,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1185,7C3fJ1q01IQ137IQTRwmVZ,Under The Bridge,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,2tPDuNTakdxcbfhHSi7Rc6,267560,9/29/1992,46,0.475,0.401,9,-11.672,1,0.0515,0.0285,5.80E-05,0.115,0.475,84.742,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1186,4MFKd4CQpSNRyvoyiPQPVC,Sex Type Thing,2UazAtjfzqBF0Nho2awK4z,Stone Temple Pilots,1fyLNx6wxgDA59wFInnyup,218293,11/10/2003,39,0.397,0.969,9,-3.892,1,0.0463,1.52E-06,0.517,0.0513,0.702,134.289,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1187,6xy6jNeNTYwjnKTDzMyHw2,Zombie,7t0rwkOPGlDPEhaOcVtOt9,The Cranberries,2KsgTeLQXz7yDV1joGOd2L,306440,10/3/1994,0,0.309,0.649,7,-8.994,1,0.035,0.0158,0.00595,0.367,0.313,166.915,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1188,1i8TVeZA6ZiSyrdLKQ4DEd,Cats In The Cradle,3XsgWn63EnA4wYZBjVyxjf,Ugly Kid Joe,4saAsJgmmKqFWTzaTdiYzC,241000,1/1/2003,0,0.473,0.454,8,-11.115,1,0.0316,0.226,1.77E-06,0.0776,0.462,75.788,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1189,6RizOVqaCrMu0yDPnZI2OQ,Can't Put Me Out,7Jm8FDSF4KssUgheiEquC5,Dooley and Baldwin,7DoStFQ0vzReS29xpHnxYz,199285,4/15/2021,30,0.775,0.537,9,-10.698,1,0.0474,0.529,0.00022,0.0779,0.429,125.972,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1190,7di8ToervYD0T8PY9cU3jq,Godzilla,00tVTdpEhQQw1bqdu8RCx2,Blue Öyster Cult,3OYw8rWF5RDCeVMWffMNHP,221760,1977,0,0.41,0.798,11,-8.181,1,0.0582,0.222,6.06E-06,0.227,0.705,184.474,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1191,0iIJ6t6HbI8CJnS7pmuCHb,Cotton Fields,3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,2WGvhwaV49Sosgej0EAops,175160,1/1/2004,0,0.57,0.649,9,-7.116,1,0.0283,0.186,0,0.186,0.872,148.522,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1192,0bPvDZXAQ4Tsdg2ULFIpG0,Rock And Roll (Part 1),61zv3hX7l838ZyhaDyAx8S,Gary Glitter,1ZdAArzHHBWYEtChsGX4u7,180160,2000,0,0.716,0.462,11,-9.312,0,0.0559,0.00468,0.539,0.135,0.602,129.841,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1193,3uYGC9ngC6emgoFlUKuV5E,You're All I Need,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,4PUfaPONvulKOcLpw2pZHs,275466,1987,0,0.537,0.776,6,-5.198,1,0.024,0.106,1.25E-06,0.0322,0.392,92.146,3Ho3iO0iJykgEQNbjB2sic,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock, Rock Classicos",Rock
1194,5EIKp1TKhUNdsThloWPa53,So Called Life,2xiIXseIJcq3nG7C8fHeBj,Three Days Grace,1dlAtdEHKRk6fLGfiPT8RW,206276,11/29/2021,70,0.502,0.905,2,-4.162,1,0.0634,0.00021,0,0.0601,0.481,160.064,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1195,3xr0ZIYqXVKogVu00fJRBX,Kill The Noise,4RddZ3iHvSpGV4dvATac9X,Papa Roach,5Ob0D7DLOzpHe0KcZb67Ky,188127,9/9/2021,69,0.535,0.853,0,-5.635,0,0.0589,0.00039,0.000112,0.284,0.598,94.985,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1196,0L3TkNCKAwHCaYHxeYPuhp,Shotgun Blues,0L5fC7Ogm2YwgqVCRcF1bT,Volbeat,4ALN0YC4oFfoaOPY1Hec5u,267899,9/23/2021,16,0.534,0.947,2,-7.147,1,0.0519,9.72E-06,0.063,0.185,0.673,149.104,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1197,7vBwenmGPD2h0DSbljoZym,Story Of My Life (feat. Trippie Redd) - Heavy Edit,45eNHdiiabvmbp4erw26rg,ILLENIUM,4Wzad6zTcqutg65d090DL2,240608,12/1/2021,63,0.537,0.884,0,-4.088,0,0.0428,0.0121,1.71E-06,0.113,0.397,97.024,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1198,47xrDjgTsXiSczuZENqUoH,Dead Inside,73GhYkwfPQzmfJb1cdPqPf,Nita Strauss,3iWO24LnOzcDaqA7UNgG6w,240689,10/15/2021,60,0.412,0.944,2,-4.607,1,0.0858,9.63E-05,0.172,0.0261,0.266,174.018,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1199,3R6WrsYpIuxJw7ZGHT5w85,Alone Again,1caBfBEapzw8z2Qz9q0OaQ,Asking Alexandria,529z8YYjj1Yrib54m9svgq,228977,8/20/2021,62,0.496,0.969,10,-3.085,1,0.0688,7.49E-05,5.93E-06,0.242,0.199,109.977,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1200,42qa1IoXDeSt0zzWTOuwyG,Start The Healing,3RNrq3jvMZxD9ZyoOZbQOD,Korn,0u1tbNPEpP0a6it8o6KeOH,208053,11/11/2021,66,0.468,0.95,9,-3.366,1,0.264,0.00201,0.326,0.282,0.412,149.968,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1201,73IXs3h1OUIecDOAoYvH15,Destructible,1oPEr1Ci8sWOYj8SSh2VPE,Siiickbrain,39n6Z4LYELVW2vaElXsgxH,171830,11/26/2021,52,0.498,0.914,0,-6.391,1,0.0552,0.0283,7.55E-05,0.14,0.506,160.06,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1202,2dWqxUeIO2kM45lHMLOz9J,Untouchable,3LkSiHbjqOHCKCqBfEZOTv,Atreyu,7gSn76j4IpgrhL9r7mNlTL,185502,6/4/2021,48,0.567,0.884,5,-5.788,0,0.0476,0.000753,0.00772,0.266,0.422,139.975,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1203,7ALsy4QJ5BdzWiHbJPglf6,Lifeline,0eI3X5rAzHRZVe5FPk4MN1,Bad Wolves,4ByxEMaefZBFPA3LqYrQOv,193103,9/8/2021,58,0.441,0.883,10,-5.358,0,0.0765,0.000119,0.000228,0.294,0.371,123.115,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1204,5bmxbmDia6hJvshHkzRYcb,I'm Not,1V599H9vfq6hWe2hGzyzI0,Zero 9:36,5iybC75h5fhEF9jL7DDlov,163263,12/2/2021,54,0.528,0.875,9,-4.039,1,0.0559,0.00323,0,0.34,0.484,94.972,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
1205,4hf97gkuBELlhaXAyANra9,Rivals,1ZjAT2nTrzDIXFfsQ2hWJk,Adelitas Way,6OPs0XXJcEuVc5fp4W8r3N,165626,12/3/2021,52,0.606,0.898,0,-4.249,0,0.036,0.0263,0,0.0786,0.703,90.038,37i9dQZF1DWWJOmJ7nRx0C,Rock Hard,Rock
